"complaint_text","priority"
"Background operations occasionally empty","Medium"
"Delayed database query results","Medium"
"Suggestion to add more analysis tools","Low"
"Suggestion to add more tools","Low"
"That's very kind","Other"
"Let's make it happen","Other"
"Request to add mobile optimization","Low"
"Minor performance issues","Medium"
"How's life","Other"
"Add ability to tag items","Low"
"Critical pension fund evaporated","High"
"Critical systems all offline","High"
"Security vulnerability detected","High"
"Emergency clone replacing original","High"
"Payment refunds not processing","High"
"Right on","Other"
"Stay connected","Other"
"Suggestion to add more conversion tracking","Low"
"Catch me up","Other"
"It'll be okay","Other"
"Add option to send transactional emails","Low"
"What's the plan","Other"
"Emergency catastrophic absolute collapse","High"
"Add ability to sync with Active Directory","Low"
"Request to add impediment management","Low"
"Major all critical infrastructure lost","High"
"Request to add social media analytics","Low"
"Add ability to customize emails","Low"
"Background sync occasionally loses data","Medium"
"Minor freezes in dashboard rendering","Medium"
"Chat feature occasionally disconnects","Medium"
"Discover anything","Other"
"Background tasks occasionally hang","Medium"
"Form autocomplete slow","Medium"
"Background jobs occasionally empty","Medium"
"Add ability to export results","Low"
"Let it go","Other"
"Critical API endpoints failing","High"
"Occasional lag in modal animations","Medium"
"Frequently","Other"
"That's sweet","Other"
"Major all services permanently lost","High"
"Slow loading of burndown data","Medium"
"Request to add predictive analytics","Low"
"Add option to set priorities","Low"
"One more time","Other"
"Major end of world scenario","High"
"Wrapping up","Other"
"File compression takes time","Medium"
"Critical absolute system failure","High"
"Add ability to schedule deliveries","Low"
"File operations occasionally empty","Medium"
"Got it","Other"
"Add ability to segment users","Low"
"Critical total collapse happening","High"
"Add option to visualize roadmaps","Low"
"Major complete service collapse","High"
"Suggestion to add more agile tools","Low"
"UI color theme looks outdated","Low"
"Minor stuttering in video calls","Medium"
"Minor delays in updates","Medium"
"Sounds fun","Other"
"When the time is right","Other"
"Could be true","Other"
"Cheers","Other"
"Complete service outage across all regions","High"
"Give it another shot","Other"
"How are you doing","Other"
"Primary and backup systems both down","High"
"Occasional lag in data synchronization","Medium"
"API response times elevated","Medium"
"Critical application crash","High"
"Critical explosive device found","High"
"Suggestion to add more KPIs","Low"
"Dashboard data occasionally stale","Medium"
"Slow loading of capacity data","Medium"
"Request for email subscription","Low"
"Emergency evacuation required","High"
"Add ability to create metrics","Low"
"Emergency retirement savings lost","High"
"Do you agree","Other"
"Getting to it","Other"
"Keep me posted","Other"
"Add ability to track aging items","Low"
"Occasional lag in search results","Medium"
"Sooner or later","Other"
"Incredibly excited","Other"
"System crash during payment processing","High"
"Dashboard updates occasionally lag","Medium"
"Slow rendering of charts","Medium"
"Brilliant","Other"
"Cool","Other"
"Request to add user guide","Low"
"Minor stuttering in scrolling","Medium"
"That's the spirit","Other"
"Request to add story mapping","Low"
"Occasional freezes in forms","Medium"
"Emergency catastrophic global collapse","High"
"Total loss of backup systems","High"
"Suggestion to add more panels","Low"
"Slow rendering of media items","Medium"
"Critical radiation leak detected","High"
"Minor stuttering in notifications","Medium"
"Peace out","Other"
"Right on time","Other"
"C'est la vie","Other"
"File download occasionally stalls","Medium"
"Emergency total power outage","High"
"API responses occasionally blocked","Medium"
"Background sync occasionally stutters","Medium"
"Add option to activate emergency plans","Low"
"Critical global absolute collapse","High"
"Request to add incident reporting","Low"
"Minor delays in flow calculations","Medium"
"Lesson learned","Other"
"Critical breach of all security layers","High"
"Positive energy","Other"
"Change default language","Low"
"Dashboard rendering occasionally delays","Medium"
"Silver lining","Other"
"Slow scrolling in lists","Medium"
"Critical absolute universal collapse","High"
"New chapter","Other"
"How's work going","Other"
"Form validation occasionally delays","Medium"
"Critical system breach active","High"
"Minor stuttering in SMS sending","Medium"
"Add option to save drafts","Low"
"So basically","Other"
"Emergency universal catastrophic failure","High"
"Worry about it then","Other"
"Catastrophic system failure","High"
"Minor delays in rendering","Medium"
"Emergency collective amnesia spreading","High"
"Suggestion to add more risk tools","Low"
"Slow loading of screen share","Medium"
"Occasional lag in directory sync","Medium"
"Critical prison sentence imposed","High"
"Request to add bug tracking","Low"
"Marvelous","Other"
"Request to add A/B testing","Low"
"Background sync occasionally stutters","Medium"
"From here","Other"
"Looking forward","Other"
"Count me in","Other"
"Critical time loop detected","High"
"Critical alien invasion in progress","High"
"On rare occasions","Other"
"Total divine abandonment","High"
"Major life savings disappeared","High"
"Emergency global infrastructure failure","High"
"Nice talking","Other"
"Request to add audit logs","Low"
"What's current","Other"
"Include me","Other"
"Emergency complete infrastructure loss","High"
"Add ability to analyze feedback","Low"
"Speak later","Other"
"Fantastic","Other"
"Be well","Other"
"Add option to archive users","Low"
"Payment gateway failure causing transaction loss","High"
"File upload takes longer","Medium"
"Such is life","Other"
"Background processes occasionally error","Medium"
"Request to add disaster recovery","Low"
"Not to mention","Other"
"Slow loading of backup data","Medium"
"Add option to survey customers","Low"
"Complete network infrastructure failure","High"
"Makes sense","Other"
"Add option to identify blockers","Low"
"Emergency meteor impact predicted","High"
"Report export takes time","Medium"
"Minor lag in file operations","Medium"
"Complete global absolute emergency","High"
"Occasional delays in loading forms","Medium"
"Emergency services required immediately","High"
"Suggestion to add customization options","Low"
"Look on the bright side","Other"
"Minor delays in notification delivery","Medium"
"Printer not connecting to network","Medium"
"Add option to archive items","Low"
"Calm down","Other"
"Form validation takes time","Medium"
"You got this","Other"
"Complete service failure nationwide","High"
"Critical aura completely shattered","High"
"Add ability to share screens","Low"
"Feeling better","Other"
"Commonly","Other"
"Not a moment too soon","Other"
"Complete global system collapse","High"
"Just relaxing","Other"
"Though","Other"
"Critical complete infrastructure failure","High"
"Mobile app freezes occasionally","Medium"
"Dashboard widgets occasionally return empty","Medium"
"Add ability to generate keys","Low"
"Complete loss of inner peace","High"
"Critical system total failure","High"
"Emergency complete operational collapse","High"
"Total dimensional collapse","High"
"Production environment completely down","High"
"Dashboard tiles load slowly","Medium"
"Absolutely","Other"
"Complete spiritual dissolution","High"
"All authentication services down","High"
"Slow loading of rollback data","Medium"
"Request to add recent items list","Low"
"Suggestion to add more forms","Low"
"Background operations occasionally time out","Medium"
"Suggestion to add more integrations","Low"
"Find out anything","Other"
"Total existential crisis","High"
"Background processes occasionally lag","Medium"
"Add ability to set rules","Low"
"Add option to schedule actions","Low"
"Add option to configure notifications","Low"
"Suggestion to add more icons","Low"
"At last","Other"
"Glad to know","Other"
"API responses occasionally fail validation","Medium"
"Bit by bit","Other"
"Be right back","Other"
"Emergency complete collapse scenario","High"
"Every so often","Other"
"Request to add risk management","Low"
"Something else","Other"
"Add ability to track time","Low"
"That works for me","Other"
"Occasional freezes in collaboration","Medium"
"Add option to track assets","Low"
"Moderate delays observed","Medium"
"Add option to clone environments","Low"
"What's going on","Other"
"At the moment","Other"
"Request to add access control","Low"
"Major integrity completely lost","High"
"Ditto","Other"
"Right now","Other"
"Request to add screen sharing","Low"
"Request to add custom reports","Low"
"Nailed it","Other"
"Total infrastructure meltdown","High"
"Slow loading of scrum data","Medium"
"API calls occasionally drop","Medium"
